b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
39,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.731176361885631,0.17721327785393445,4.38383833729192,5.078514386479343,NA
39,1,4,QLD ($p$ known),1,0,0.18578367585249056,1.952806571535356,-3.6417172043568065,4.013284556061787,2
39,1,4,QLD ($p$ estimated),1,0,25.132550298269074,0.5010102468196189,24.150570214502626,26.114530382035525,0
40,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.701704186544133,0.1750856945341942,4.3585362252571125,5.044872147831154,NA
40,1,4,QLD ($p$ known),1,0,0.886923935524025,3.981970495327487,-6.9177382353178505,8.6915861063659,2
40,1,4,QLD ($p$ estimated),1,0,-2.465606923417803,1.727030668637261,-5.850587033946834,0.9193731871112284,1
41,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.165512546290535,0.18874457479693452,4.795573179688543,5.535451912892527,NA
41,1,4,QLD ($p$ known),1,0,8.72149888616746,11.958813115556572,-14.71777482032342,32.16077259265834,2
41,1,4,QLD ($p$ estimated),1,0,25.00909977995174,0.5289583452670932,23.972341423228237,26.045858136675243,0
42,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.031197010225163,0.17760764720480343,4.6830860217037475,5.379307998746578,NA
42,1,4,QLD ($p$ known),1,0,2.6258230184329907,4.387896658816142,-5.974454432846647,11.226100469712629,2
42,1,4,QLD ($p$ estimated),1,0,25.56330596447151,0.45637403049224606,24.668812864706712,26.457799064236315,0
43,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.867885290143806,0.16297219360556447,4.548459790676899,5.187310789610713,NA
43,1,4,QLD ($p$ known),1,0,-0.23746494371699808,1.8497982110178053,-3.863069437311896,3.3881395498779003,2
43,1,4,QLD ($p$ estimated),1,0,-0.23746494371699808,1.8497982110178053,-3.863069437311896,3.3881395498779003,2
44,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.634015195349092,0.18119299709460293,4.27887692104367,4.989153469654514,NA
44,1,4,QLD ($p$ known),1,0,-3.4496810737625037,3.833148745393854,-10.96265261473446,4.063290467209451,2
44,1,4,QLD ($p$ estimated),1,0,-5.010872537638742,1.958650882943049,-8.84982826820712,-1.1719168070703665,1
45,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.143535386737735,0.17302209802126717,4.804412074616051,5.482658698859419,NA
45,1,4,QLD ($p$ known),1,0,-0.20420048408669117,2.385881862134477,-4.8805289338702655,4.472127965696884,2
45,1,4,QLD ($p$ estimated),1,0,-0.0856458341759091,1.5885265790697098,-3.1991579291525403,3.027866260800722,1
46,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.691278362459085,0.17137143773814284,4.355390344492324,5.027166380425845,NA
46,1,4,QLD ($p$ known),1,0,3.20380963890725,13.038739229515354,-22.352119250942845,28.759738528757342,2
46,1,4,QLD ($p$ estimated),1,0,25.354605301550283,0.5034193926726322,24.36790329191192,26.341307311188643,0
47,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.129048358367571,0.1807107057562265,4.774855375085368,5.483241341649775,NA
47,1,4,QLD ($p$ known),1,0,2.906993180404961,2.0397069137819077,-1.0908323706075778,6.9048187314175,2
47,1,4,QLD ($p$ estimated),1,0,2.906993180404961,2.0397069137819077,-1.0908323706075778,6.9048187314175,2
48,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.9390100960918195,0.17935382700579452,4.587476595160462,5.290543597023177,NA
48,1,4,QLD ($p$ known),1,0,5.03069670402514,6.8916925600170424,-8.477020713608262,18.538414121658544,2
48,1,4,QLD ($p$ estimated),1,0,25.348969758699777,0.4731346392764691,24.421625865717896,26.276313651681654,0
49,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.83611813578544,0.1722625558738032,4.498483526272786,5.173752745298094,NA
49,1,4,QLD ($p$ known),1,0,-1.587275794905134,2.2238607812803095,-5.94604292621454,2.7714913364042726,2
49,1,4,QLD ($p$ estimated),1,0,-1.587275794905134,2.2238607812803095,-5.94604292621454,2.7714913364042726,2
50,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.426362175883859,0.1767912510365194,4.079851323852281,4.772873027915437,NA
50,1,4,QLD ($p$ known),1,0,-1.9482243963435248,5.069637055808337,-11.884713025727864,7.988264233040814,2
50,1,4,QLD ($p$ estimated),1,0,-2.6258628500605328,1.9841865973815485,-6.5148685809283675,1.263142880807302,1
51,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.019389611604095,0.17134908108411448,4.68354541267923,5.35523381052896,NA
51,1,4,QLD ($p$ known),1,0,0.28878680078353175,1.4120150340315163,-2.47876266591824,3.0563362674853036,2
